Broadcast Year,Broadcast Quarter,Market ,Service Type,Broadcast Language,Total Quarterly Hours,Universe
2019,Quarter 1,Calgary,CBC/SRC,French," 304,615 "," 1,319,950 "
2019,Quarter 1,Calgary,CBC/SRC,English," 14,898,952 "," 1,319,950 "
2019,Quarter 1,Calgary,Non-Commercial,French, -   ," 1,319,950 "
2019,Quarter 1,Calgary,Non-Commercial,English," 16,241 "," 1,319,950 "
2019,Quarter 1,Calgary,Private Commercial,French," 4,343 "," 1,319,950 "
2019,Quarter 1,Calgary,Private Commercial,English," 117,646,366 "," 1,319,950 "
2019,Quarter 1,Edmonton,CBC/SRC,French," 2,190,131 "," 1,248,934 "
2019,Quarter 1,Edmonton,CBC/SRC,English," 13,750,164 "," 1,248,934 "
2019,Quarter 1,Edmonton,Non-Commercial,French, -   ," 1,248,934 "
2019,Quarter 1,Edmonton,Non-Commercial,English, -   ," 1,248,934 "
2019,Quarter 1,Edmonton,Private Commercial,French, 618 ," 1,248,934 "
2019,Quarter 1,Edmonton,Private Commercial,English," 119,604,481 "," 1,248,934 "
2019,Quarter 1,Montreal,CBC/SRC,English," 16,500,541 "," 3,745,917 "
2019,Quarter 1,Montreal,CBC/SRC,French," 53,052,587 "," 3,745,917 "
2019,Quarter 1,Montreal,Non-Commercial,French, -   ," 3,745,917 "
2019,Quarter 1,Montreal,Non-Commercial,English," 7,075 "," 3,745,917 "
2019,Quarter 1,Montreal,Private Commercial,English," 143,763,142 "," 3,745,917 "
2019,Quarter 1,Montreal,Private Commercial,French," 220,604,623 "," 3,745,917 "
2019,Quarter 1,Toronto,CBC/SRC,French," 1,774,062 "," 5,640,975 "
2019,Quarter 1,Toronto,CBC/SRC,English," 89,884,976 "," 5,640,975 "
2019,Quarter 1,Toronto,Non-Commercial,French, -   ," 5,640,975 "
2019,Quarter 1,Toronto,Non-Commercial,English," 12,894,974 "," 5,640,975 "
2019,Quarter 1,Toronto,Private Commercial,French," 137,217 "," 5,640,975 "
2019,Quarter 1,Toronto,Private Commercial,English," 512,547,734 "," 5,640,975 "
2019,Quarter 1,Vancouver,CBC/SRC,French," 1,315,444 "," 2,347,954 "
2019,Quarter 1,Vancouver,CBC/SRC,English," 43,681,918 "," 2,347,954 "
2019,Quarter 1,Vancouver,Non-Commercial,English, -   ," 2,347,954 "
2019,Quarter 1,Vancouver,Non-Commercial,French, -   ," 2,347,954 "
2019,Quarter 1,Vancouver,Private Commercial,French," 2,295 "," 2,347,954 "
2019,Quarter 1,Vancouver,Private Commercial,English," 180,289,030 "," 2,347,954 "
2019,Quarter 2,Calgary,CBC/SRC,French," 404,418 "," 1,319,968 "
2019,Quarter 2,Calgary,CBC/SRC,English," 14,225,849 "," 1,319,968 "
2019,Quarter 2,Calgary,Non-Commercial,French, -   ," 1,319,968 "
2019,Quarter 2,Calgary,Non-Commercial,English," 54,724 "," 1,319,968 "
2019,Quarter 2,Calgary,Private Commercial,French, 53 ," 1,319,968 "
2019,Quarter 2,Calgary,Private Commercial,English," 108,030,008 "," 1,319,968 "
2019,Quarter 2,Edmonton,CBC/SRC,French," 2,159,084 "," 1,248,990 "
2019,Quarter 2,Edmonton,CBC/SRC,English," 12,723,432 "," 1,248,990 "
2019,Quarter 2,Edmonton,Non-Commercial,French, -   ," 1,248,990 "
2019,Quarter 2,Edmonton,Non-Commercial,English, 85 ," 1,248,990 "
2019,Quarter 2,Edmonton,Private Commercial,French," 1,377 "," 1,248,990 "
2019,Quarter 2,Edmonton,Private Commercial,English," 117,184,326 "," 1,248,990 "
2019,Quarter 2,Montreal,CBC/SRC,English," 16,655,266 "," 3,745,872 "
2019,Quarter 2,Montreal,CBC/SRC,French," 52,287,232 "," 3,745,872 "
2019,Quarter 2,Montreal,Non-Commercial,French, -   ," 3,745,872 "
2019,Quarter 2,Montreal,Non-Commercial,English, 222 ," 3,745,872 "
2019,Quarter 2,Montreal,Private Commercial,English," 127,480,702 "," 3,745,872 "
2019,Quarter 2,Montreal,Private Commercial,French," 218,411,053 "," 3,745,872 "
2019,Quarter 2,Toronto,CBC/SRC,French," 3,008,631 "," 5,640,997 "
2019,Quarter 2,Toronto,CBC/SRC,English," 89,820,752 "," 5,640,997 "
2019,Quarter 2,Toronto,Non-Commercial,French, -   ," 5,640,997 "
2019,Quarter 2,Toronto,Non-Commercial,English," 10,867,268 "," 5,640,997 "
2019,Quarter 2,Toronto,Private Commercial,French," 134,812 "," 5,640,997 "
2019,Quarter 2,Toronto,Private Commercial,English," 479,395,001 "," 5,640,997 "
2019,Quarter 2,Vancouver,CBC/SRC,French," 1,135,782 "," 2,347,905 "
2019,Quarter 2,Vancouver,CBC/SRC,English," 38,204,541 "," 2,347,905 "
2019,Quarter 2,Vancouver,Non-Commercial,French, -   ," 2,347,905 "
2019,Quarter 2,Vancouver,Non-Commercial,English, 199 ," 2,347,905 "
2019,Quarter 2,Vancouver,Private Commercial,French, 437 ," 2,347,905 "
2019,Quarter 2,Vancouver,Private Commercial,English," 178,677,678 "," 2,347,905 "
2019,Quarter 3,Calgary,CBC/SRC,French," 554,776 "," 1,319,970 "
2019,Quarter 3,Calgary,CBC/SRC,English," 16,136,746 "," 1,319,970 "
2019,Quarter 3,Calgary,Non-Commercial,French, -   ," 1,319,970 "
2019,Quarter 3,Calgary,Non-Commercial,English," 52,451 "," 1,319,970 "
2019,Quarter 3,Calgary,Private Commercial,French, 142 ," 1,319,970 "
2019,Quarter 3,Calgary,Private Commercial,English," 112,742,790 "," 1,319,970 "
2019,Quarter 3,Edmonton,CBC/SRC,French," 1,257,121 "," 1,248,969 "
2019,Quarter 3,Edmonton,CBC/SRC,English," 12,609,719 "," 1,248,969 "
2019,Quarter 3,Edmonton,Non-Commercial,English, -   ," 1,248,969 "
2019,Quarter 3,Edmonton,Non-Commercial,French, -   ," 1,248,969 "
2019,Quarter 3,Edmonton,Private Commercial,French, 169 ," 1,248,969 "
2019,Quarter 3,Edmonton,Private Commercial,English," 125,636,189 "," 1,248,969 "
2019,Quarter 3,Montreal,CBC/SRC,English," 18,028,702 "," 3,745,910 "
2019,Quarter 3,Montreal,CBC/SRC,French," 59,307,837 "," 3,745,910 "
2019,Quarter 3,Montreal,Non-Commercial,French, -   ," 3,745,910 "
2019,Quarter 3,Montreal,Non-Commercial,English," 2,335 "," 3,745,910 "
2019,Quarter 3,Montreal,Private Commercial,English," 132,027,248 "," 3,745,910 "
2019,Quarter 3,Montreal,Private Commercial,French," 241,410,645 "," 3,745,910 "
2019,Quarter 3,Toronto,CBC/SRC,French," 5,039,049 "," 5,640,985 "
2019,Quarter 3,Toronto,CBC/SRC,English," 99,709,397 "," 5,640,985 "
2019,Quarter 3,Toronto,Non-Commercial,French, -   ," 5,640,985 "
2019,Quarter 3,Toronto,Non-Commercial,English," 10,731,588 "," 5,640,985 "
2019,Quarter 3,Toronto,Private Commercial,French," 33,949 "," 5,640,985 "
2019,Quarter 3,Toronto,Private Commercial,English," 469,480,555 "," 5,640,985 "
2019,Quarter 3,Vancouver,CBC/SRC,French," 1,326,815 "," 2,347,872 "
2019,Quarter 3,Vancouver,CBC/SRC,English," 45,646,255 "," 2,347,872 "
2019,Quarter 3,Vancouver,Non-Commercial,French, -   ," 2,347,872 "
2019,Quarter 3,Vancouver,Non-Commercial,English, 941 ," 2,347,872 "
2019,Quarter 3,Vancouver,Private Commercial,French," 9,054 "," 2,347,872 "
2019,Quarter 3,Vancouver,Private Commercial,English," 175,589,224 "," 2,347,872 "
